frame,keypoint,mediapipe_error,mmpose_error,yolo_error,normalized_mediapipe_error,normalized_mmpose_error,normalized_yolo_error
maxV_close_frame_11,right_elbow_angle,0.9840582387000154,12.630055846900007,116.78061398230001,0.08200485322500128,1.0525046539083338,9.731717831858335
maxV_close_frame_11,right_knee_angle,84.39577931570001,24.549013755999994,92.02980060469999,7.032981609641667,2.0457511463333327,7.669150050391665
maxV_close_frame_11,right_shoulder_angle,21.0326031504,2.0647815814,103.0802538046,1.7527169292,0.17206513178333335,8.590021150383334
maxV_close_frame_11,right_hip_angle,37.268631641400006,26.99130570780001,29.32233998849999,3.1057193034500004,2.2492754756500006,2.4435283323749992
maxV_close_frame_12,right_elbow_angle,14.765758810999984,41.364896328699984,15.833484686800006,1.2304799009166654,3.447074694058332,1.3194570572333337
maxV_close_frame_12,right_knee_angle,74.55016347240002,25.491027691800006,87.84986934220001,6.212513622700001,2.1242523076500004,7.320822445183334
maxV_close_frame_12,right_shoulder_angle,17.256788943700002,26.196261841000002,6.341154640799999,1.4380657453083334,2.1830218200833333,0.5284295534
maxV_close_frame_12,right_hip_angle,41.52829325269998,14.309436307699983,41.162680199399986,3.4606911043916653,1.1924530256416652,3.430223349949999
maxV_close_frame_17,right_elbow_angle,68.843191168,92.93033096689999,45.566593268400005,5.736932597333333,7.744194247241666,3.7972161057000005
maxV_close_frame_17,right_shoulder_angle,0.8983475767000044,37.799885282,117.140172965,0.0748622980583337,3.1499904401666665,9.761681080416666
maxV_close_frame_17,right_hip_angle,1.5890906790999964,56.00883737889998,14.622839253299986,0.13242422325833303,4.667403114908332,1.2185699377749988
maxV_close_frame_19,right_elbow_angle,,62.5200240972,6.138246383299993,,5.2100020081,0.5115205319416661
