frame,keypoint,mediapipe_error,mmpose_error,yolo_error,normalized_mediapipe_error,normalized_mmpose_error,normalized_yolo_error
maxV_close_frame_17,right_knee_angle,7.3771846928,149.2906447244,33.69078585220001,0.6147653910666667,12.440887060366668,2.807565487683334
maxV_close_frame_17,right_ankle_angle,22.923852690199993,73.1410763781,,1.910321057516666,6.095089698174999,
maxV_close_frame_18,right_elbow_angle,54.383440144299996,18.8973408394,59.71452697989999,4.531953345358333,1.5747784032833334,4.976210581658333
maxV_close_frame_18,right_knee_angle,23.089535277500005,5.273996783600012,17.29966496840001,1.924127939791667,0.43949973196666764,1.4416387473666674
maxV_close_frame_18,right_shoulder_angle,0.5955080157000019,18.3725583704,123.80938269579998,0.049625667975000155,1.5310465308666668,10.317448557983331
maxV_close_frame_18,right_hip_angle,8.033238674800003,6.151862163299995,23.459534199399997,0.6694365562333336,0.5126551802749996,1.9549611832833331
maxV_close_frame_18,right_ankle_angle,39.33398143069999,18.430445906399996,,3.277831785891666,1.5358704921999997,
maxV_close_frame_19,right_knee_angle,,49.5337514654,2.0020817093000005,,4.127812622116667,0.1668401424416667
maxV_close_frame_19,right_shoulder_angle,,5.3211286038,164.58599147340001,,0.44342738365,13.715499289450001
maxV_close_frame_19,right_hip_angle,,68.4977687098,11.230152019799988,,5.708147392483333,0.935846001649999
maxV_close_frame_19,right_ankle_angle,,79.2611028991,,,6.605091908258333,
