Status,Mediapipe,MMPose,YOLO
Blurry,0.032075163506244786,0.07998334673881272,0.03472242004792201
Blurry and Occluded,0.077430727628783,0.0728256740287346,0.04475485578198618
Normal,0.04127531043576985,0.1683474215799792,0.025602237108004952
Occluded,0.05771181358181399,0.11725401091632602,0.042719134316685864
