Status,Mediapipe,MMPose,YOLO
Blurry,0.05613153613592838,0.13997085679292226,0.060764235083863506
Blurry and Occluded,0.154861455257566,0.1456513480574692,0.08950971156397236
Normal,0.04127531043576985,0.1683474215799792,0.025602237108004952
Occluded,0.08656772037272098,0.175881016374489,0.0640787014750288
