,Mediapipe,RTMPose,YOLO
Correct (C) %,27.048669801181017,67.26105696083945,30.30609532340454
False (F) %,41.52862677780221,32.73894303916053,34.769852143962446
Don't Know (DK) %,31.422703421016767,0.0,34.92405253263301
