Status,Mediapipe,RTMPose,YOLO
Blurry,17.54154172913543,56.08818358677804,21.02604947526237
Blurry and Occluded,12.5,43.888888888888886,24.027777777777775
Normal,26.34125411620249,90.99991827394574,32.74491404811073
Occluded,48.17471590909091,72.22419507575758,41.8560606060606
