Status,Mediapipe,RTMPose,YOLO
Blurry,41.95589705147426,0.0,41.96495502248875
Blurry and Occluded,18.055555555555554,0.0,16.666666666666668
Normal,28.26086956521739,0.0,47.11458856579412
Occluded,34.07670454545455,0.0,29.38565340909091
