frame,keypoint,mediapipe_error,mmpose_error,yolo_error,normalized_mediapipe_error,normalized_mmpose_error,normalized_yolo_error
maxV_close_frame_17,right_hip,8.693062543803592,62.29173691081633,80.73215411580671,0.08583929893351025,0.6150972685209232,0.797186431798152
maxV_close_frame_17,right_knee,56.45755896871426,227.84299828437767,107.37741250842953,0.5574879114180731,2.2498265877059405,1.060293971724377
maxV_close_frame_18,right_shoulder,72.35867437276033,38.57542785572465,20.244101996182934,0.6953776276131106,0.3707156016746028,0.19454883248335145
maxV_close_frame_18,right_elbow,80.59194715980485,17.851336350262493,608.4060935845166,0.774500604198512,0.17155399858516882,5.846873089502427
maxV_close_frame_18,right_wrist,31.194131043558926,28.379702466078207,672.382842741423,0.29978024098087136,0.2727331635674156,6.461699168569961
maxV_close_frame_18,right_hip,21.90483075204135,34.20267079701292,21.39357921385758,0.21050868294175673,0.328692755678959,0.20559547958614613
maxV_close_frame_18,right_knee,63.45344095241621,26.655096405048145,16.654248197683604,0.6097970093546995,0.2561594427014383,0.16004980331348984
maxV_close_frame_19,right_shoulder,,162.55789944466179,16.743293524331882,,1.4680552101207096,0.15120815030796672
maxV_close_frame_19,right_elbow,,278.5689872289976,626.4303474992153,,2.515747647310098,5.657272507615128
maxV_close_frame_19,right_knee,,273.5510855450048,4.1058786501633175,,2.4704311370929686,0.037080059259424605
