frame,keypoint,mediapipe_error,mmpose_error,yolo_error,normalized_mediapipe_error,normalized_mmpose_error,normalized_yolo_error
maxV_close_frame_11,left_knee,40.27142610376457,20.035034425973915,16.21584194061827,0.3963058860954721,0.19716217773565883,0.15957799936119224
maxV_close_frame_11,left_hip,88.51109824610043,9.474607954607647,12.93402490926723,0.8710262489667626,0.09323838920387748,0.1272820631988718
maxV_close_frame_11,left_ankle,171.53801421495268,13.945926027688827,13.78786672353861,1.688083370758991,0.13724005098762765,0.13568460985610462
maxV_close_frame_11,left_feet,221.38087705128225,3.5654021094339305,,2.178580525515578,0.03508666017004531,
maxV_close_frame_12,left_knee,48.89047071240872,3.1747467332399495,27.24613842418976,0.47441250827198694,0.030806403352185215,0.2643850362288483
maxV_close_frame_12,left_hip,112.55440638254187,21.455528822258508,8.300081873091765,1.0921804897954002,0.2081954028371858,0.08054049394285973
maxV_close_frame_12,left_ankle,20.51875509611251,7.328450163873676,16.221727174055054,0.19910534568231733,0.07111218962158924,0.15740879899513968
maxV_close_frame_12,left_feet,20.23579638854352,6.416304236953646,,0.1963596337217014,0.06226111024365277,
maxV_close_frame_17,left_elbow,47.986140488232344,24.6776683789449,21.46258828232639,0.4738372279365325,0.24367865091137725,0.21193147089073724
maxV_close_frame_17,left_hip,5.190886271023419,65.84511761173962,51.081296249265826,0.051257199186475894,0.6501849843488207,0.5044002198945865
maxV_close_frame_17,left_wrist,11.650026810843979,34.37442646224945,20.33860633421213,0.11503772450277217,0.3394289013673594,0.20083275603002096
maxV_close_frame_17,right_ankle,160.86262869560932,431.05861411100625,243.98373633712887,1.5884316030459533,4.2564710708211955,2.409207661031495
maxV_close_frame_17,right_feet,167.33737018784012,438.094756247809,,1.6523661793438043,4.325949175364478,
maxV_close_frame_18,left_hip,60.01286754785498,27.541840258634686,14.912104612241459,0.5767325869833408,0.26468118308091165,0.14330754422834813
maxV_close_frame_18,left_wrist,79.67423551954998,29.971649905855976,17.780559416088327,0.7656812587811835,0.288032015343702,0.1708738217162254
maxV_close_frame_18,right_ankle,173.58662047294717,12.246147556523034,43.42354179409222,1.6681932522425598,0.11768730023142661,0.4173066980163183
maxV_close_frame_18,right_feet,170.46189601142385,13.402598933165974,,1.6381641852117697,0.1288009700396537,
maxV_close_frame_19,left_shoulder,,30.777543188044138,48.616739688088835,,0.27795101183196985,0.4390562269936176
maxV_close_frame_19,left_hip,,219.73720156813215,37.07025093785412,,1.9844396656297612,0.3347802550089238
maxV_close_frame_19,left_wrist,,217.5979051337041,50.76490414935598,,1.9651197476972346,0.4584562317939561
maxV_close_frame_19,right_hip,,297.0874701506244,34.94451208588097,,2.6829874765001915,0.31558277517154715
maxV_close_frame_19,right_ankle,,492.8119403784541,40.150813010991556,,4.450568930540177,0.36260071293203566
maxV_close_frame_19,right_feet,,451.8838800274498,,,4.080948921646787,
