Method,Correct (C) %,False (F) %,Don't Know (DK) %
Mediapipe,24.324324324324326,37.83783783783784,37.83783783783784
MMPose,83.78378378378379,16.216216216216218,0.0
YOLO,13.513513513513514,29.72972972972973,56.75675675675676
