Method,Correct (C) %,False (F) %,Don't Know (DK) %
Mediapipe,24.59016393442623,39.34426229508197,36.0655737704918
MMPose,39.34426229508197,60.65573770491803,0.0
YOLO,21.311475409836063,44.26229508196721,34.42622950819672
