Method,Correct (C) %,False (F) %,Don't Know (DK) %
Mediapipe,46.666666666666664,53.333333333333336,0.0
MMPose,66.66666666666666,33.33333333333333,0.0
YOLO,13.333333333333334,53.333333333333336,33.33333333333333
