Method,Correct (C) %,False (F) %,Don't Know (DK) %
Mediapipe,43.47826086956522,17.391304347826086,39.130434782608695
MMPose,73.91304347826086,26.08695652173913,0.0
YOLO,43.47826086956522,30.434782608695656,26.08695652173913
