Method,Correct (C) %,False (F) %,Don't Know (DK) %
Mediapipe,30.952380952380953,35.714285714285715,33.33333333333333
MMPose,78.57142857142857,21.428571428571427,0.0
YOLO,35.23809523809524,33.33333333333333,31.428571428571427
