Combined Name,Mediapipe,RTMPose,YOLO
Ankle,0.42687543002156636,0.9064573421121759,0.5628470863211734
Ankle Angle,0.2977389963313467,0.6098871552651346,0.0
Elbow,0.6197655980583414,1.0335761932397491,0.5438587889771201
Elbow Angle,0.47231521415221206,0.7525477237565786,0.4304913776999541
Feet,0.4044273866280339,0.9041879082304868,0.0
Hip,0.5870548410764331,0.9336316098592766,0.7644448389931676
Hip Angle,0.5823940512138939,0.7985010683020187,0.5374387914665397
Knee,0.5555604111664405,0.9715090820948561,0.6702655256283762
Knee Angle,0.3787179334699945,0.8661560994498411,0.4348662546101964
Shoulder,0.6630395683223022,1.2149662119065503,0.9111134187820141
Shoulder Angle,0.5772727551385773,0.9232257176435094,0.5499257597179951
Wrist,0.6668299939185257,1.125709714189635,0.5196573758228175
