frame,keypoint,mediapipe_error,mmpose_error,yolo_error,normalized_mediapipe_error,normalized_mmpose_error,normalized_yolo_error
maxV_far_frame_40,left_elbow_angle,252.40888193000004,25.240888193000004,252.40888193000004,,2.103407349416667,
maxV_close_frame_7,right_elbow_angle,65.5730375806,18.883569951499993,74.3333287086,5.464419798383333,1.573630829291666,6.19444405905
maxV_close_frame_7,right_knee_angle,17.8907613211,2.552999447099978,87.1676778288,1.4908967767583334,0.21274995392499818,7.263973152399999
maxV_close_frame_7,right_shoulder_angle,56.857701685799995,26.9754645481,8.5390312396,4.73814180715,2.2479553790083333,0.7115859366333334
maxV_close_frame_7,right_hip_angle,28.762108029199993,13.319531559599994,103.37841318299999,2.396842335766666,1.1099609632999996,8.614867765249999
maxV_close_frame_11,right_elbow_angle,0.9840582387000154,12.630055846900007,116.78061398230001,0.08200485322500128,1.0525046539083338,9.731717831858335
maxV_close_frame_11,right_knee_angle,84.39577931570001,24.549013755999994,92.02980060469999,7.032981609641667,2.0457511463333327,7.669150050391665
maxV_close_frame_11,right_shoulder_angle,21.0326031504,2.0647815814,103.0802538046,1.7527169292,0.17206513178333335,8.590021150383334
maxV_close_frame_11,right_hip_angle,37.268631641400006,26.99130570780001,29.32233998849999,3.1057193034500004,2.2492754756500006,2.4435283323749992
maxV_close_frame_12,right_elbow_angle,14.765758810999984,41.364896328699984,15.833484686800006,1.2304799009166654,3.447074694058332,1.3194570572333337
maxV_close_frame_12,right_knee_angle,74.55016347240002,25.491027691800006,87.84986934220001,6.212513622700001,2.1242523076500004,7.320822445183334
maxV_close_frame_12,right_shoulder_angle,17.256788943700002,26.196261841000002,6.341154640799999,1.4380657453083334,2.1830218200833333,0.5284295534
maxV_close_frame_12,right_hip_angle,41.52829325269998,14.309436307699983,41.162680199399986,3.4606911043916653,1.1924530256416652,3.430223349949999
maxV_close_frame_17,right_elbow_angle,68.843191168,92.93033096689999,45.566593268400005,5.736932597333333,7.744194247241666,3.7972161057000005
maxV_close_frame_17,right_shoulder_angle,0.8983475767000044,37.799885282,117.140172965,0.0748622980583337,3.1499904401666665,9.761681080416666
maxV_close_frame_17,right_hip_angle,1.5890906790999964,56.00883737889998,14.622839253299986,0.13242422325833303,4.667403114908332,1.2185699377749988
maxV_close_frame_19,right_elbow_angle,625.200240972,62.5200240972,6.138246383299993,,5.2100020081,0.5115205319416661
accel_frame_57,right_elbow_angle,5.941925837199989,11.91750607520001,15.921699301500013,0.4951604864333324,0.9931255062666674,1.326808275125001
accel_frame_57,right_shoulder_angle,54.9474886545,12.235759146099994,42.09739400869999,4.578957387875,1.019646595508333,3.508116167391666
accel_frame_57,right_hip_angle,2.0641260976000098,23.484671329500003,39.27893737010001,0.17201050813333416,1.9570559441250002,3.2732447808416674
accel_frame_61,right_elbow_angle,15.084535514700008,5.1406909053999925,47.8144451062,1.2570446262250006,0.4283909087833327,3.984537092183333
accel_frame_61,right_shoulder_angle,11.108229099200003,6.7130093883000015,29.788875216199997,0.9256857582666669,0.5594174490250001,2.4824062680166663
accel_frame_69,right_elbow_angle,38.0962587705,5.404894860900001,31.626756065799995,3.174688230875,0.45040790507500006,2.6355630054833328
accel_frame_69,right_knee_angle,13.440628781599997,9.871662814700002,3.8456464571000026,1.1200523984666664,0.8226385678916669,0.32047053809166687
accel_frame_69,right_hip_angle,51.1531265557,4.881698471499988,20.399645684600003,4.262760546308333,0.4068082059583323,1.699970473716667
